,ANALF,SBASC,OVSDE,OVSEE,OVSAE,OVPT,VHAC,PL.5000,PO2SM
count,2469.0,2469.0,2469.0,2469.0,2469.0,2469.0,2469.0,2469.0,2469.0
mean,10.164466407387202,45.85302555928554,3.159962537302552,1.5007931825022276,6.118145286861078,7.987232172390846,26.56628609106723,69.90046880801297,82.14385381196435
std,7.633632589601034,13.981593672529813,5.289298825250053,2.7691670652731166,9.24599457933119,8.973590842709504,10.586539585443115,35.267725676340575,11.83044351880382
min,0.353445703,5.535136846,0.0,0.0,0.0,0.0,3.950392485,0.0,28.4531128
25%,4.427754736,35.73756818,0.651868966,0.366076876,0.878499107,1.654652687,18.72509956,40.12969605,74.61559966
50%,8.202761743,46.3394388,1.428250112,0.82815735,2.452316076,4.714140773,25.0,100.0,84.64326593
75%,13.78729379,55.85637776,3.342618384,1.678328074,7.285869172,11.02964616,32.82081604,100.0,91.62011173
max,53.07125307,88.32807571,64.45042443,53.06546275,81.78844057,68.14976372,69.56401825,100.0,100.0
