CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,POB_TOT,ANALF,SBASC,OVSDE,OVSEE,OVSAE,OVPT,VHAC,PL.5000,PO2SM,IM_2020,GM_2020,IMN_2020
08,Chihuahua,08015,Coyame del Sotol,1230,6.503198294,58.28877005,0.165975104,1.161825726,0.580912863,0.25210084,6.451612949,100,84.23153693,55.91343087,Bajo,0.875526511
08,Chihuahua,08016,La Cruz,3704,3.391645841,37.63206665,0.974817222,0.460330355,0.189547793,0.135391281,11.41630936,100,73.20692498,57.20477212,Muy bajo,0.895747118
08,Chihuahua,08017,Cuauhtémoc,180638,1.806987724,35.32391691,0.235831922,0.143620351,0.405713519,0.336466985,11.06626034,19.29605066,51.34207503,59.75507938,Muy bajo,0.93568138
08,Chihuahua,08018,Cusihuiriachi,5099,5.433942828,67.32800825,2.531894014,1.000981354,1.138370952,0.569185476,10.83627796,100,77.35229759,55.53990457,Bajo,0.869677609
08,Chihuahua,08019,Chihuahua,937674,1.01729442,16.4144073,0.103269781,0.093713075,0.861080758,0.521493647,8.458509445,1.270377551,42.11734256,61.12413471,Muy bajo,0.957118882
08,Chihuahua,08020,Chínipas,6222,10.5396679,57.79520295,7.481781377,18.47773279,8.761133603,28.03238866,25.53430748,100,70.6528371,46.97590498,Muy alto,0.735577294
08,Chihuahua,08021,Delicias,150506,1.861244613,24.16396423,0.165256214,0.151262744,0.260545079,0.324521714,12.8046217,10.31786108,59.78158796,59.82393212,Muy bajo,0.936759518
08,Chihuahua,08022,Dr. Belisario Domínguez,2456,7.062285434,62.35294118,3.183673469,2.081632653,0.489795918,2.653061224,5.340313911,100,79.79094077,55.18769735,Bajo,0.864162534
08,Chihuahua,08023,Galeana,6656,6.104921077,51.5088208,0.842612098,0.707192296,0.030093289,1.67017755,25.19252014,100,62.56957328,56.06902488,Bajo,0.877962897
08,Chihuahua,08024,Santa Isabel,3791,3.256895979,50.38665366,0.211640212,0.343915344,0.105820106,0.423280423,7.536907673,100,57.94871795,57.73560444,Muy bajo,0.904059213
08,Chihuahua,08025,Gómez Farías,7023,3.410794603,46.20965744,1.014430633,0.128589799,0.128589799,0.55722246,8.95170784,100,75.61968183,57.05185931,Muy bajo,0.893352716
08,Chihuahua,08026,Gran Morelos,2448,4.897551224,60.76961519,2.607615894,0.869205298,0.745033113,0.82781457,5.726872444,100,74.59954233,56.18244955,Bajo,0.879738969
08,Chihuahua,08027,Guachochi,50180,21.09459297,59.04881016,18.1352293,25.89936801,29.56976179,23.04950174,35.12289429,65.30490235,81.58286417,40.52231593,Muy alto,0.634523072
08,Chihuahua,08028,Guadalupe,4237,3.307888041,44.89180472,0.647016535,0.287562904,0.838725138,0.35945363,13.7197361,100,91.20734908,56.24436732,Bajo,0.880708516
08,Chihuahua,08029,Guadalupe y Calvo,50514,19.77495509,66.00270876,20.2311678,29.98405739,9.055400558,36.05021921,37.62400436,87.46486123,88.0537733,39.34762946,Muy alto,0.616129116
08,Chihuahua,08030,Guazapares,8196,17.00796359,60.34907987,14.35722134,14.97985594,12.47710902,25.43035038,30.55430412,100,65.63626996,45.96321857,Muy alto,0.719720035
08,Chihuahua,08031,Guerrero,35473,4.309982821,51.55084493,1.707248018,2.579275198,3.389014723,2.214043035,17,54.21024441,76.96624953,55.96267341,Bajo,0.876297581
08,Chihuahua,08032,Hidalgo del Parral,116662,1.742671944,24.86387411,0.342312203,0.261260951,0.42163896,0.84925507,13.50965595,2.41638237,60.51061799,59.78754385,Muy bajo,0.936189729
08,Chihuahua,08033,Huejotitán,824,4.99194847,57.97101449,1.213592233,0.242718447,0.970873786,0.121359223,8.185053825,100,84.32055749,56.12890519,Bajo,0.878900539
08,Chihuahua,08034,Ignacio Zaragoza,5196,3.009542452,54.34803993,1.100173712,0.366724571,0.443929743,0.521134916,6.615384579,100,82.35553595,56.63766409,Muy bajo,0.886866995
08,Chihuahua,08035,Janos,11005,3.471578111,64.88670995,0.405044647,1.16910614,0.110466722,2.236951118,15.56456661,100,78.44344905,55.79009403,Bajo,0.873595228
08,Chihuahua,08036,Jiménez,40859,2.981938938,27.50593019,0.879779809,0.250663521,0.914184606,0.727415708,14.7432642,14.12663061,70.30714474,58.84061421,Muy bajo,0.921362129
08,Chihuahua,08037,Juárez,1512450,1.334994961,24.00032743,0.087587387,0.062316549,0.473703365,0.754018096,15.11599636,0.720618863,82.7472375,59.06768373,Muy bajo,0.924917721
08,Chihuahua,08038,Julimes,4980,2.599142551,47.77599143,0.884955752,0.341914722,0.502815768,0.100563154,12.17339706,100,70.72434608,57.10094479,Muy bajo,0.894121327
08,Chihuahua,08039,López,4122,4.04138377,38.47397349,1.532278322,0.904295403,0.527505652,1.180607887,12.53943253,100,76.7049291,56.62853357,Muy bajo,0.886724024
08,Chihuahua,08040,Madera,25144,4.205684245,44.48297633,0.947562836,2.019593672,0.782943869,2.196522507,14.94423771,41.31800827,67.25091288,57.30873002,Muy bajo,0.897374954
08,Chihuahua,08041,Maguarichi,1302,17.61487965,59.40919037,7.275541796,23.60681115,11.91950464,20.04643963,30,100,92.19219219,43.886103,Muy alto,0.687195296
08,Chihuahua,08042,Manuel Benavides,1178,7.252298264,66.9164524,0.170068027,1.700680272,2.551020408,0.770547945,6.852248192,100,92.41071429,54.90204942,Bajo,0.859689685
08,Chihuahua,08043,Matachí,2742,3.795688847,49.29709466,1.277838627,0.474625776,0.693683826,1.131799927,11.52679443,100,81.30841121,56.36931722,Bajo,0.882665057
08,Chihuahua,08044,Matamoros,4314,3.707136237,38.74117449,1.829697396,0.844475721,1.360544218,0.914848698,11.95335293,100,79.04387688,56.53117101,Bajo,0.885199462
08,Chihuahua,08045,Meoqui,44853,2.802266049,38.37477174,0.362082537,0.218149106,0.332846059,0.488024289,13.80914307,26.47314561,70.66629956,58.53004301,Muy bajo,0.916499016
08,Chihuahua,08046,Morelos,7266,22.94092281,71.28579613,25.64355043,22.71768181,13.27894219,37.85342524,30.852211,100,92.26244344,39.55963115,Muy alto,0.619448768
08,Chihuahua,08047,Moris,4447,10.15852475,61.79887374,3.561705989,4.945553539,1.724137931,9.891107078,21.63786697,100,74.07101569,52.84731475,Medio,0.8275154
08,Chihuahua,08048,Namiquipa,22712,2.950877606,51.60019583,0.853906734,0.278736395,0.234492523,0.592946591,9.258060455,100,63.80117661,57.35831671,Muy bajo,0.898151413
08,Chihuahua,08049,Nonoava,2757,13.90134529,55.05729945,16.28415301,10.38251366,7.795992714,4.517304189,21.5990448,100,81.47345612,49.10951289,Alto,0.768986625
08,Chihuahua,08050,Nuevo Casas Grandes,65753,1.945148462,28.51986579,0.22306423,0.210841533,0.502658437,0.236843714,10.60634995,5.649932322,62.97887971,59.71359845,Muy bajo,0.935031847
08,Chihuahua,08051,Ocampo,8127,7.890828073,52.64288628,3.821970164,5.621994822,5.511034398,3.489088892,30.87304878,100,52.80665281,53.63729052,Medio,0.839885321
08,Chihuahua,08052,Ojinaga,24534,2.636059092,39.49065487,0.085970443,0.188285375,0.298849634,0.532328733,10.67463684,10.05950925,80.88755494,58.59236868,Muy bajo,0.917474949
08,Chihuahua,08053,Praxedis G. Guerrero,5111,3.816591572,52.2818359,0.925561245,0.177235132,0.374163056,0.531705396,13.25373173,100,88.95474138,56.10290846,Bajo,0.878493467
08,Chihuahua,08054,Riva Palacio,7695,1.663278507,80.41027536,0.377702527,0.182339151,0.234436051,0.234436051,9.065807343,100,48.98128898,57.39570155,Muy bajo,0.898736807
